"Staining_condition","CD3","CD45","CD15","CD4","CD8","CD11b","ToxTox2","CD20","CD11c","H3K27me3","Ki67","HLADRA","pS6","CD68","FoxP3","PD1","Pax5","H3K27ac","GranzymeB","CD31","IDO1","CD138","NAKATPase","CD45RA","Cytokeratin"
"BIDMC_1",20,9,18,30,21,30,4,24,4,5,22,20,4,22,20,8,24,1,9,1,3,10,3,17,11
"BIDMC_10",21,20,7,12,16,22,17,22,15,17,24,21,17,21,19,18,22,22,21,23,22,23,18,23,16
"BIDMC_11",23,16,24,9,23,23,21,23,21,22,17,24,14,24,24,21,12,9,24,22,23,15,11,12,19
"BIDMC_12",7,23,13,18,18,15,20,20,23,23,9,22,24,18,23,24,10,24,23,24,24,20,24,5,18
"BIDMC_13",10,2,6,30,2,1,1,2,3,2,5,4,1,1,3,2,13,3,1,6,1,4,1,13,17
"BIDMC_14",18,14,3,8,9,13,8,11,9,6,15,6,10,11,14,11,16,13,15,16,14,19,14,22,10
"BIDMC_15",8,6,17,1,10,9,11,7,10,8,4,12,6,14,12,9,5,7,7,11,13,3,7,7,12
"BIDMC_16",3,19,4,16,4,6,16,10,19,13,1,7,21,8,21,16,3,19,19,15,21,9,22,3,6
"BIDMC_17",14,3,15,30,5,14,6,12,5,4,11,9,9,7,4,4,18,2,4,10,5,17,5,16,24
"BIDMC_18",19,15,12,4,19,21,15,21,13,7,21,19,18,23,11,12,23,20,12,20,9,22,15,21,23
"BIDMC_19",15,11,20,3,15,8,13,15,12,19,14,10,16,20,13,17,9,12,11,18,15,11,10,10,14
"BIDMC_2",24,22,8,6,14,20,12,19,16,16,16,18,7,9,18,20,21,10,18,7,7,14,9,19,3
"BIDMC_20",4,21,21,14,20,17,22,17,22,15,8,11,22,16,16,19,4,15,20,14,17,16,20,4,9
"BIDMC_21",5,1,5,30,1,3,3,1,2,1,3,1,3,3,1,1,14,4,2,8,6,30,6,14,20
"BIDMC_22",12,7,2,5,6,11,7,6,7,3,10,3,12,15,5,6,17,18,8,19,8,21,19,20,21
"BIDMC_23",9,8,19,7,12,2,10,5,8,12,6,5,15,12,7,10,6,17,6,21,10,13,13,9,5
"BIDMC_24",2,17,10,15,7,7,14,4,14,14,2,2,19,6,9,7,1,16,13,13,18,8,21,2,13
"BIDMC_3",22,18,23,10,24,18,24,16,20,21,23,15,13,19,17,22,11,11,17,5,20,5,12,11,2
"BIDMC_4",6,24,22,17,22,19,23,18,24,24,19,23,23,10,22,23,8,23,22,12,19,7,23,6,7
"BIDMC_5",13,5,11,30,8,4,2,8,1,9,12,8,2,2,2,3,19,5,3,2,2,6,2,15,8
"BIDMC_6",17,10,1,11,13,16,9,13,11,18,20,17,11,17,10,14,15,21,16,17,16,12,17,24,15
"BIDMC_7",11,13,16,2,17,5,19,9,17,10,13,14,8,13,15,15,7,8,10,3,11,1,8,8,4
"BIDMC_8",1,12,14,13,11,12,18,3,18,20,7,16,20,4,8,13,2,14,14,4,12,2,16,1,1
"BIDMC_9",16,4,9,30,3,10,5,14,6,11,18,13,5,5,6,5,20,6,5,9,4,18,4,18,22
