"Staining_condition","Marker","CV","Is_Excluded","Z_score"
"Stanford_Orion_TMA_CA20min","CD68",0.336575070033812,FALSE,-1.07091146352999
"Stanford_Orion_TMA_CA20min","PanCK",0.26270318326374,FALSE,-1.03870673346782
"Stanford_Orion_TMA_CA20min","CD163",0.139945142833417,FALSE,-1.34285825119312
"Stanford_Orion_TMA_CA20min","CD8a",0.197039212518851,FALSE,-0.559254808950825
"Stanford_Orion_TMA_CA20min","CD4",NA,TRUE,NA
"Stanford_Orion_TMA_CA20min","PDL1",NA,TRUE,NA
"Stanford_Orion_TMA_CA20min","CD3e",0.428021169605058,FALSE,-0.749822121008801
"Stanford_Orion_TMA_CA20min","CD45RO",NA,TRUE,NA
"Stanford_Orion_TMA_CA20min","PD1",NA,TRUE,NA
"Stanford_Orion_TMA_CA20min","CD31",0.439730716416368,FALSE,-1.12422084355519
"Stanford_Orion_TMA_CA20min","SMA",0.362980909742312,FALSE,-1.18156754105764
"Stanford_Orion_TMA_CA20min","HLAABC",0.255649369054601,FALSE,0.0200223323397229
"Stanford_Orion_TMA_CA20min","Vimentin",0.385408565403324,FALSE,-0.563518818082244
"Stanford_Orion_TMA_Tris10min","CD68",0.943222351182065,FALSE,0.877402356524826
"Stanford_Orion_TMA_Tris10min","PanCK",0.782294551873561,FALSE,1.12486786236694
"Stanford_Orion_TMA_Tris10min","CD163",0.403765393817162,FALSE,0.624688606288277
"Stanford_Orion_TMA_Tris10min","CD8a",0.333830239855506,FALSE,1.35985646271137
"Stanford_Orion_TMA_Tris10min","CD4",0.638230075846572,FALSE,1.10813477636372
"Stanford_Orion_TMA_Tris10min","PDL1",0.624021311283887,FALSE,0.921097097486877
"Stanford_Orion_TMA_Tris10min","CD3e",1.03898605622456,FALSE,1.34218403052627
"Stanford_Orion_TMA_Tris10min","CD45RO",NA,TRUE,NA
"Stanford_Orion_TMA_Tris10min","PD1",0.617863763909073,FALSE,1.07506651114549
"Stanford_Orion_TMA_Tris10min","CD31",1.33583778352275,FALSE,1.11235503972252
"Stanford_Orion_TMA_Tris10min","SMA",1.13595821983023,FALSE,1.09038373367219
"Stanford_Orion_TMA_Tris10min","HLAABC",0.460297592520021,FALSE,1.40667244304279
"Stanford_Orion_TMA_Tris10min","Vimentin",0.704099308397284,FALSE,1.41745113562732
"Stanford_Orion_TMA_Tris20min","CD68",0.927323151555592,FALSE,0.826340345167197
"Stanford_Orion_TMA_Tris20min","PanCK",0.638931426681442,FALSE,0.527904874942743
"Stanford_Orion_TMA_Tris20min","CD163",0.438378126965403,FALSE,0.882827145997496
"Stanford_Orion_TMA_Tris20min","CD8a",0.24462817159303,FALSE,0.108395032885373
"Stanford_Orion_TMA_Tris20min","CD4",0.327351814212479,FALSE,-0.272948217615376
"Stanford_Orion_TMA_Tris20min","PDL1",0.45450088303177,FALSE,0.142514551396951
"Stanford_Orion_TMA_Tris20min","CD3e",0.700698119474001,FALSE,0.183851595763906
"Stanford_Orion_TMA_Tris20min","CD45RO",0.370162515699623,FALSE,0.707106781186548
"Stanford_Orion_TMA_Tris20min","PD1",0.338994567591991,FALSE,-0.172603128753787
"Stanford_Orion_TMA_Tris20min","CD31",1.0926126216951,FALSE,0.505294174878936
"Stanford_Orion_TMA_Tris20min","SMA",0.934687644329264,FALSE,0.498804997003941
"Stanford_Orion_TMA_Tris20min","HLAABC",0.153265622477481,FALSE,-0.673706795239763
"Stanford_Orion_TMA_Tris20min","Vimentin",0.470578482845451,FALSE,-0.0341057393472416
"Stanford_Orion_TMA_Tris40min","CD68",0.472980291260857,FALSE,-0.632831238162032
"Stanford_Orion_TMA_Tris40min","PanCK",0.364682407043955,FALSE,-0.614066003841868
"Stanford_Orion_TMA_Tris40min","CD163",0.297925226722566,FALSE,-0.164657501092653
"Stanford_Orion_TMA_Tris40min","CD8a",0.172110199043188,FALSE,-0.908996686645921
"Stanford_Orion_TMA_Tris40min","CD4",0.200793396740502,FALSE,-0.835186558748348
"Stanford_Orion_TMA_Tris40min","PDL1",0.191891566878309,FALSE,-1.06361164888383
"Stanford_Orion_TMA_Tris40min","CD3e",0.420313635338014,FALSE,-0.776213505281372
"Stanford_Orion_TMA_Tris40min","CD45RO",0.198893981009255,FALSE,-0.707106781186547
"Stanford_Orion_TMA_Tris40min","PD1",0.175862007620251,FALSE,-0.902463382391702
"Stanford_Orion_TMA_Tris40min","CD31",0.6924641902587,FALSE,-0.493428371046265
"Stanford_Orion_TMA_Tris40min","SMA",0.62629772271355,FALSE,-0.407621189618486
"Stanford_Orion_TMA_Tris40min","HLAABC",0.141564939284658,FALSE,-0.752987980142754
"Stanford_Orion_TMA_Tris40min","Vimentin",0.344174769628988,FALSE,-0.819826578197839
