Marker,mean_SNR
Ki67,0.6878188946009549
ToxTox2,0.5194394146216964
H3K27ac,0.4974976656056472
PD1,0.41271636199587264
H3K27me3,0.3364886249084009
CD3,0.30955794382551877
FoxP3,0.30785160369146436
Pax5,0.30697748072762954
CD4,0.24697967631724504
CD8,0.22837538732362547
CD20,0.22368347798823793
GranzymeB,0.2228736347384565
CD31,0.21174657908849867
CD138,0.20201479215366772
IDO1,0.1991501467816484
NAKATPase,0.18820476944439932
CD45RA,0.18676185787100025
CD45,0.1852961503490033
Cytokeratin,0.17333680104264285
pS6,0.17140686036877803
HLADRA,0.16853054647531016
CD11c,0.1490893983502103
CD68,0.1295675104882427
CD11b,0.09910648095441092
CD15,0.04958260432539136
