"Marker","Best_Condition","Worst_Condition","Min_CV","Max_CV","CV_Range","Failed_Conditions","Excluded_Conditions"
"IDO1","BIDMC_LymphNode_2","BIDMC_LymphNode_4",0.134596323511426,0.518805472918198,0.384209149406773,0,0
"CD45RA","BIDMC_LymphNode_2","BIDMC_LymphNode_4",0.205677974944944,0.472316582245078,0.266638607300135,0,0
"PD1","BIDMC_LymphNode_2","BIDMC_LymphNode_4",0.0765492730950283,0.3249507518778,0.248401478782772,0,0
"CD31","BIDMC_LymphNode_2","BIDMC_LymphNode_4",0.131898785441395,0.36018218525236,0.228283399810965,0,0
"CD8","BIDMC_LymphNode_2","BIDMC_LymphNode_4",0.16831102042653,0.375611602410579,0.207300581984049,0,0
"Granzyme B","BIDMC_LymphNode_2","BIDMC_LymphNode_4",0.0946481418241747,0.285281755779437,0.190633613955262,0,0
"CD11c","BIDMC_LymphNode_2","BIDMC_LymphNode_4",0.0749058743181052,0.255289091124809,0.180383216806704,0,0
"CD3","BIDMC_LymphNode_2","BIDMC_LymphNode_4",0.217016789667677,0.392295943770663,0.175279154102986,0,0
"CD68","BIDMC_LymphNode_2","BIDMC_LymphNode_4",0.14077323087176,0.312512264450823,0.171739033579063,0,0
"Tox/Tox2","BIDMC_LymphNode_2","BIDMC_LymphNode_4",0.0793549115575216,0.230119360177558,0.150764448620036,0,0
"H3K27me3","BIDMC_LymphNode_1","BIDMC_LymphNode_4",0.137979820512274,0.285959135892476,0.147979315380201,0,0
"NaKATPase","BIDMC_LymphNode_2","BIDMC_LymphNode_4",0.0814190233190255,0.226646784586696,0.14522776126767,0,0
"H3K27ac","BIDMC_LymphNode_2","BIDMC_LymphNode_4",0.101047776451431,0.242464312795,0.141416536343569,0,0
"CD45","BIDMC_LymphNode_2","BIDMC_LymphNode_4",0.147905269163892,0.285933448137965,0.138028178974073,0,0
"CD11b","BIDMC_LymphNode_2","BIDMC_LymphNode_4",0.0989263261224054,0.217577356185852,0.118651030063447,0,0
"Ki67","BIDMC_LymphNode_2","BIDMC_LymphNode_4",0.176113233472533,0.291397674956829,0.115284441484297,0,0
"pS6","BIDMC_LymphNode_2","BIDMC_LymphNode_4",0.180711761267043,0.293164547390896,0.112452786123853,0,0
"CD15","BIDMC_LymphNode_2","BIDMC_LymphNode_4",0.126561258342519,0.231134201012199,0.104572942669681,0,0
"FoxP3","BIDMC_LymphNode_2","BIDMC_LymphNode_4",0.0108692036764096,0.0938762169865706,0.083007013310161,0,0
"HLADRA","BIDMC_LymphNode_2","BIDMC_LymphNode_4",0.148063060610033,0.225547077074314,0.0774840164642804,0,0
"CD20","BIDMC_LymphNode_2","BIDMC_LymphNode_4",0.0732077064536488,0.134020098085805,0.0608123916321558,0,0
"Pax5","BIDMC_LymphNode_2","BIDMC_LymphNode_4",0.141964739500032,0.185675838141973,0.0437110986419411,0,0
