"Staining_condition","Total_Markers","Working_Markers","Excluded_Markers","NonWorking_Markers","Total_Score","Average_Score","Average_Rank","Penalty_Count"
"BIDMC_Slide21",25,23,2,0,133,5.32,3.17391304347826,2
"BIDMC_Slide13",25,24,1,0,155,6.2,5.20833333333333,1
"BIDMC_Slide23",25,25,0,0,169,6.76,6.76,0
"BIDMC_Slide5",25,24,1,0,178,7.12,6.16666666666667,1
"BIDMC_Slide22",25,25,0,0,203,8.12,8.12,0
"BIDMC_Slide15",25,25,0,0,234,9.36,9.36,0
"BIDMC_Slide17",25,24,1,0,244,9.76,8.91666666666667,1
"BIDMC_Slide24",25,25,0,0,258,10.32,10.32,0
"BIDMC_Slide7",25,25,0,0,265,10.6,10.6,0
"BIDMC_Slide8",25,25,0,0,276,11.04,11.04,0
"BIDMC_Slide9",25,24,1,0,291,11.64,10.875,1
"BIDMC_Slide14",25,25,0,0,306,12.24,12.24,0
"BIDMC_Slide16",25,25,0,0,318,12.72,12.72,0
"BIDMC_Slide6",25,25,0,0,335,13.4,13.4,0
"BIDMC_Slide1",25,23,2,0,337,13.48,12.0434782608696,2
"BIDMC_Slide19",25,25,0,0,341,13.64,13.64,0
"BIDMC_Slide2",25,25,0,0,378,15.12,15.12,0
"BIDMC_Slide3",25,25,0,0,392,15.68,15.68,0
"BIDMC_Slide20",25,25,0,0,398,15.92,15.92,0
"BIDMC_Slide18",25,25,0,0,424,16.96,16.96,0
"BIDMC_Slide4",25,25,0,0,446,17.84,17.84,0
"BIDMC_Slide10",25,25,0,0,479,19.16,19.16,0
"BIDMC_Slide11",25,25,0,0,479,19.16,19.16,0
"BIDMC_Slide12",25,25,0,0,524,20.96,20.96,0
