"Staining_condition","CD3","CD45","CD15","CD4","CD8","CD11b","Tox/Tox2","CD20","CD11c","H3K27me3","Ki67","HLADRA","pS6","CD68","FOXP3","PD1","Pax5","H3K27ac","Granzyme B","CD31","IDO1","CD138","Na/KATPase","CD45RA","CK","Total_Z_Rank"
"BIDMC_Slide21",4,1,3,NA,1,1,1,1,1,1,3,1,2,2,1,1,13,1,1,5,1,NA,2,12,14,73
"BIDMC_Slide13",6,2,6,NA,2,2,2,3,4,7,4,5,1,1,2,6,14,4,2,8,3,7,3,14,17,125
"BIDMC_Slide5",9,7,5,NA,6,4,3,8,2,9,8,13,3,3,3,2,19,7,3,2,2,9,1,15,5,148
"BIDMC_Slide23",10,4,18,1,15,3,10,2,11,3,7,2,4,8,7,16,2,5,6,13,8,1,7,5,1,169
"BIDMC_Slide22",8,5,2,2,3,10,6,6,8,2,9,3,5,10,4,3,15,11,7,14,7,16,11,18,18,203
"BIDMC_Slide17",12,3,12,NA,9,15,7,13,5,4,11,7,8,5,5,7,18,2,4,7,4,12,5,16,23,214
"BIDMC_Slide15",7,8,14,5,12,8,12,7,12,11,6,10,6,15,11,11,6,8,8,12,13,3,9,9,11,234
"BIDMC_Slide24",3,14,17,13,13,16,13,4,14,13,2,4,19,4,13,12,1,14,13,10,17,5,17,1,6,258
"BIDMC_Slide9",14,6,8,NA,7,11,5,16,7,12,17,15,9,6,10,9,20,6,5,9,6,18,6,19,20,261
"BIDMC_Slide7",13,10,15,6,16,9,19,9,16,10,15,11,11,16,12,15,8,9,10,3,12,2,8,6,4,265
"BIDMC_Slide8",1,13,16,14,11,12,18,5,15,19,5,17,20,7,8,10,5,20,14,4,15,4,19,2,2,276
"BIDMC_Slide1",19,11,10,NA,22,NA,4,24,3,5,18,18,7,22,20,4,24,3,9,1,5,15,4,17,12,277
"BIDMC_Slide14",18,17,4,8,5,7,9,11,9,8,12,9,10,11,9,8,16,15,15,18,14,20,16,22,15,306
"BIDMC_Slide16",2,19,11,16,8,6,14,10,17,16,1,8,21,9,17,18,4,19,19,17,21,11,22,3,9,318
"BIDMC_Slide6",16,12,1,12,4,5,8,12,6,21,13,20,12,14,6,5,17,22,11,19,16,17,18,24,24,335
"BIDMC_Slide19",17,9,23,4,18,14,16,15,20,14,20,6,14,19,14,21,7,10,12,21,11,8,10,10,8,341
"BIDMC_Slide2",24,22,7,9,10,17,11,19,10,20,14,19,13,12,19,13,22,18,17,11,10,19,12,20,10,378
"BIDMC_Slide3",22,18,21,10,23,18,22,14,18,18,23,12,16,18,16,23,10,13,18,6,19,6,14,11,3,392
"BIDMC_Slide20",5,20,22,15,21,21,23,18,22,15,10,14,23,17,18,20,3,16,20,16,18,10,20,4,7,398
"BIDMC_Slide18",20,15,13,3,17,22,17,20,19,6,24,16,18,23,15,14,21,17,16,20,9,21,15,21,22,424
"BIDMC_Slide4",11,24,19,17,19,13,20,17,21,23,16,24,22,13,21,22,9,23,21,15,20,13,23,7,13,446
"BIDMC_Slide10",21,21,9,11,14,20,15,22,13,17,22,21,17,20,22,17,23,21,22,23,22,23,21,23,19,479
"BIDMC_Slide11",23,16,24,7,24,23,21,23,23,22,21,22,15,24,24,19,12,12,23,22,23,14,13,13,16,479
"BIDMC_Slide12",15,23,20,18,20,19,24,21,24,24,19,23,24,21,23,24,11,24,24,24,24,22,24,8,21,524
