Staining_condition,CD68,CD163,CD8a,CD4,PDL1,CD3e,CD45RO,PD1,CD31,SMA,HLAABC,Vimentin
Stanford_13,0.009318461258113881,0.009829865880218409,0.015783152859609642,0.01679850214601103,0.012959745162420459,0.02417811673550867,0.018240688689106725,0.010723764013624262,0.008873370311410646,0.007051875860882512,0.01660447824017587,0.010740796450136432
Stanford_14,0.007135537411595025,0.008652840005459333,0.013606964884402425,0.017466801333840973,0.01251084024862379,0.02061536953263357,0.015293047385150648,0.008311235355787051,0.007921795306896007,0.007428120603777593,0.016163307987767515,0.010209919065324535
Stanford_15,0.007240747192762659,0.008645872695739652,0.013687289663250203,0.01661746170216464,0.011471283557572036,0.021423852040368764,0.018228351550852246,0.008063250107005641,0.007852748343437575,0.007518126907981543,0.01679386174610028,0.010441927641653373
Stanford_16,0.006868221992797522,0.007572248227875481,0.014193941755253943,0.01466183604399153,0.010103061538323969,0.02018410481647448,0.016257327491182732,0.00819966921033929,0.007152953194501129,0.006610344882243849,0.015961159708784943,0.009308221741370365
Stanford_21,0.00931547236287777,0.010468670622459254,0.01659748092537508,0.017863923923944803,0.013753901757373389,0.022212962932518388,0.018308474076890024,0.011874699029703686,0.009306286428411765,0.007306596519091078,0.016734907090910817,0.010774708086762667
Stanford_22,0.004646776991178532,0.006438648864897466,0.010560300140950527,0.013442670857615972,0.00969780525737464,0.016443206680545837,0.013458003261617606,0.006709659623289282,0.006321496614146379,0.00562566665003071,0.013020161951972593,0.007940820351903915
Stanford_23,0.015461662897034894,0.018374804287306028,0.027062866921326055,0.03193071252042651,0.022111795649847017,0.04125075555807632,0.03600387396962836,0.012304089602808082,0.012890940197538323,0.011540869967777166,0.023198276770771402,0.01639109258976489
Stanford_24,0.008331383815838554,0.009335594258693281,0.01502321597957294,0.0196462327494577,0.01300440273670599,0.0250145098880313,0.016435188342933647,0.010535106544023131,0.010353325918758448,0.008059402681537493,0.019799797858695102,0.011835950409901968
Stanford_5,0.01226334500398238,0.014894107581815072,0.023057208944532837,0.022941555519486605,0.0177526544378079,0.034792028751699414,0.024042543033402072,0.011200179772614328,0.01007970272182831,0.009818643221859559,0.022318437548622835,0.013968362277619658
Stanford_6,0.008267465158739445,0.014143193690099486,0.0182293227359044,0.025944610712770474,0.017725741576347494,0.025793604655108417,0.026291017709964514,0.012020548477702333,0.011578588358595975,0.011128428456644988,0.024889819213420438,0.014527120104464955
Stanford_7,0.01663689934943821,0.020524232132217175,0.028522767097441927,0.034586042594497185,0.022239648288712457,0.04090037763722319,0.0346060632196257,0.013879152365170103,0.013498822696260671,0.0130082988511426,0.02980243221592723,0.01753236993496158
Stanford_8,0.007488595361255178,0.01149873833105787,0.016817379125958525,0.02006358762240942,0.01289698892102327,0.020960003993259705,0.01914621644351751,0.013008948320542389,0.013601385240538943,0.010224841281738579,0.023261440516943475,0.013716136048660024
