"Staining_condition","CD31","CD4","CD68","CD163","CD8a","PDL1","CD3e","CD45RO","PD1","SMA","HLAABC","Vimentin"
"Stanford_13",0.672694777295595,0.228655414661827,0.821085119556043,0.470643828547959,0.761767210893101,0.366583965168822,0.729353903586284,0.577348349183447,1.03005624260808,0.330348388976563,0.484167808986597,0.764873412308359
"Stanford_14",-0.116566477081826,0.00232102192955494,-0.203106746707081,-0.259922883813161,-0.259556339325912,-0.185569269075392,-0.159730738102404,-0.394529409446078,-0.190127961314389,0.356785241429814,-0.00998303567453672,0.135328965653802
"Stanford_15",-0.0616076620759975,0.0064999163974046,-0.0450881618687419,0.134738519347957,-0.00311144694941911,-0.339580473601323,-0.033317875952344,-0.0824091805011773,-0.111108859568494,0.174462938510069,0.411198701806689,0.197274007728437
"Stanford_16",0.415600819102046,0.490727132631124,0.208703459091851,0.509074986916623,-0.384685534093198,0.333574594254302,0.506076486757802,0.385864017864211,0.333643927676406,0.489014903567438,1.24833614655069,0.41731324079078
"Stanford_21",0.199968760701088,-0.323931605041304,0.34592800158689,0.185885820140517,0.219224617152676,0.426107327301027,-0.147386504450066,0.0514883611584138,0.971240583923561,-0.294819713294999,-1.14699361382434,-0.811207016291833
"Stanford_22",-1.42193746048146,-0.851487395477891,-1.31441997696225,-1.05950253013075,-1.03192402344719,-0.971166507796575,-0.624741865223608,-1.11750268802035,-1.0907493029396,-0.94958580060303,-1.36304066472452,-0.936929565530609
"Stanford_23",2.47579929733369,2.21964195361834,1.74826117386708,2.09795958576737,2.1152975432411,2.26612346913772,1.99023168939729,1.8439713770668,2.04624857195113,2.15204557413253,0.755763782011012,1.91344201726205
"Stanford_24",-0.621206090704186,-0.983485797690913,-0.16282378468771,-0.68993861849402,-0.929302202404277,-1.60913257867624,-0.669672893823039,-1.01132708891335,-1.29468147133496,-1.37555881551089,0.54059730972714,-0.748624102504934
"Stanford_5",-0.595690341680491,0.122518217058632,0.444742690287812,0.197358769122823,0.543362287633564,0.0628567530400817,0.603384537418807,0.580606286142765,-0.548926943701102,-0.0721367771551932,-0.28064321345347,0.602164960929847
"Stanford_6",-0.627587725461634,-0.278337019648594,-1.52348932359772,-0.863802213466827,-0.567775459832029,-0.76231170647816,-0.927728358433872,-0.405479090997717,-0.439622375567095,0.104672390933921,-0.766145510932943,-0.421898634725627
"Stanford_7",0.540358341393106,1.04173487321587,1.0103030396452,0.933543731337534,0.998880469739087,0.412514426725737,0.65848413280311,1.21562342005013,0.367780488841861,0.670863969759046,1.53432057525074,0.722296864966243
"Stanford_8",-0.859826238339929,-1.67485671165405,-1.33009549021136,-1.65603899527603,-1.46217712260749,NA,-1.92495251397796,-1.6436543535871,-1.07375290057539,-1.58609230074527,-1.40757828572306,-1.83403415058651
